"study_group","study_id","stratification","month_start","year_start","month_end","year_end","year_mid","country","location_1","location_type_1","geography_1","site_1","name_1","ownership_1","location_2","location_type_2","geography_2","site_2","name_2","ownership_2","location_3","location_type_3","geography_3","site_3","name_3","ownership_3","study_design","study_sample","recruitment_detail","pop","pop_detail","age_range","min_age","max_age","mean_age","sd_age","median_age","iqr_age","age_group","hiv_status","hiv_positive","hiv_tested","hiv_prevalence","sexual_debut","start_sexwork","duration_sexwork","condom_use","number_partner","sti_symptom","sti_treatment","contraception","pregnancy","vd","vd_treat","vd_proptreat","num","denom","prev","prev_lwr","prev_upr","weighted_prev","specimen","specimen_source","specimencat","test","testcat","sens","spec","adj_prev","adj_se","adj_prev_lwr","adj_prev_upr","adj_denom","adj_num","exclude","notes"
"Mombasa Cohort","Martin 1998","hiv negative",2,1993,"7","1997",1995,"kenya","mombasa","city","urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cohort baseline","convenience","FSW participating in cohort study of women at high risk of STIs and HIV","fsw",NA,"18 to 46",18,46,NA,NA,26,NA,"adult","HIV negative",0,779,0,NA,NA,"median (range): 1.5 (0-24) years","median (range): 100% (0-100%)","median (range): 1 (0-10) partners per week",NA,NA,"63% did not use contraception",NA,NA,NA,NA,57,779,0.0731707317073171,NA,NA,NA,"endocervical swab","clinician","genital fluid","culture","culture",75.7,100,0.0983944193678997,0.012369182549232,0.0752976208164407,0.124491166278098,579.835845991171,57.0526113949962,NA,NA
NA,"Morison 2001","overall",9,1997,"5","1998",1997,"kenya","kisumu","town",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cross-sectional","random","Mapping exercise prior to survey listed all places where FSW recruit clients and number of FSW per location. Random selection made of locations. All women present at locations at time of visit were asked to participate.","fsw",NA,"NR",NA,NA,NA,NA,25,NA,"adult","Mixed",221,296,0.747,NA,"median: 22",NA,"50% used condom with most recent client","median: 1 in past week (range: 1-2)",NA,NA,NA,NA,NA,NA,NA,39,296,0.132,NA,NA,NA,"urine","NR","urine","naat","NAAT",91.6,100,0.146329864965283,0.0217689840256171,0.106822237066178,0.191808078620241,263.600808959481,38.5726707797801,NA,NA
"2","Fonck 2001","overall",5,1998,"8","1999",1999,"kenya","nairobi","city","urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RCT baseline","convenience","recruited through peer-leader network","fsw",NA,"NR",NA,NA,30,7.8,NA,NA,"adult","Mixed",161,534,0.301498127340824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,526,0.0988593155893536,NA,NA,NA,"cervical swab","NR","genital fluid","naat","NAAT",93.3,99.2,0.099896634994172,0.014378088833044,0.0734112105370038,0.129278338242962,434.951586805427,43.4501999072376,NA,"baseline data for full enrollment period"
"3","Cohen 2005","overall",5,2000,"NR","NR",2000,"kenya","nairobi","city","urban","clinic","Kariobangi Nairobi City Council Clinic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cohort baseline","NR","NR","fsw",NA,"18 to 35",18,35,23.9,5.3,NA,NA,"adult","Mixed",87,288,0.302083333333333,"15.6 +/- 1.9",NA,"mean: 3.9 +/- 3.2 years","22% use always, 19% use 75-99%, 32% use 50-74%, 18% use 25-49%, 8% use 1-24%, 1% never use condom","mean: 11.7 +/- 7.6 per week",NA,NA,"30% use no family planning method","1% were pregnant",NA,NA,NA,18,295,0.0610169491525424,NA,NA,NA,"cervical swab","clinician","genital fluid","naat","NAAT",93.3,99.2,0.0606125038686326,0.0155435284687416,0.0340249248228,0.0954150144929166,235.671884227945,14.2846629944942,NA,"baseline data"
"IMPACT Project","Hawken 2002","overall",2,2000,"3","2000",2000,"kenya","mombasa","city","urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cross-sectional","snowballing",NA,"fsw",NA,"15 to 65",15,65,31,8.8,30,NA,"adult","Mixed",151,493,0.306288032454361,NA,"mean: 21.8 +/- 6.7 years, median: 20, range: 12-62",NA,"29% use always, 5% almost always, 37% sometimes, 29% never used condom. 47% used condom with most recent client.","mean partners n past week: 2.8 +/- 1.6
median partners n past week: 3, range: 0-10

mean non-regular clients in past week: 1.5 +/- 1","21% had vaginal discharge in last 12 months","among those with discharge or ulcer,  45% sought first line treatment at a government clinic or hospital, 31% at a private clinic, 14% did nothing. 
7% had used antibiotics in the previous week.",NA,NA,0.21,0.1806,0.86,9,493,0.0182555780933063,NA,NA,NA,"urine","NR","urine","naat","NAAT",91.6,100,0.022165582140792,0.00691755766338602,0.0106155017305361,0.0373893688229118,452.938132630208,10.0396373835118,NA,NA
NA,"Kwena 2010","overall",8,2005,"12","2005",2005,"kenya","lake victoria, kisumu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cross-sectional","random","recruited fishermen from fishing boats selected from 18 of 32 beaches in Kisumu, using proportional-to-size sampling method based on number of registered boats per beach. randomly selected from  registered boats at these beaches","cfsw","fishermen, of whom 65% reported transactional sex with at least one of the last three partners","NR",NA,NA,30,NA,27,NA,"adult","Mixed",64,250,0.256,NA,NA,NA,"consistent condom use with three most recent partners: 37%",NA,NA,NA,NA,NA,NA,NA,NA,3,250,0.012,NA,NA,NA,"urine","NR","urine","naat","NAAT",91.6,100,0.0174343782681382,0.00876844423658361,0.00444251450522348,0.0381637741995389,222.803977984742,3.88444883183192,NA,NA
NA,"Chersich 2007","overall",10,2005,"1","2006",2005,"kenya","mombasa","city","urban","community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cross-sectional","snowballing","community-based snowball recruitment","fsw",NA,"16+",16,NA,30.4,8.4,NA,NA,"adult","Mixed",249,689,0.361393323657475,NA,NA,NA,"36% always use condoms","median: 3 (IQR: 2-6) in past week",NA,NA,NA,NA,NA,NA,NA,5,677,0.00738552437223043,NA,NA,NA,"endocervical swab","clinician","genital fluid","culture","culture",75.7,100,0.0115859756183191,0.00456693088857683,0.00452173623580321,0.0220747835006581,549.063570815791,6.36143714437898,NA,"women eligible if they had received money or gifts in exchange for sex in the last year"
NA,"Priddy 2011","overall",3,2008,"10","2008",2008,"kenya","nairobi","city","urban","community","Mukuru neighborhood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cross-sectional","convenience","women attending education sessions for FSW in the Mukuru neighborhood of Nairobi were recruited if they tested HIV negative","fsw",NA,"18 to 55",18,55,28,NA,NA,NA,"adult","HIV negative",0,200,0,"mean: 16 (range: 8-26)",NA,NA,"condom use sometimes or always in the past month:
90% with regular clients
88% with casual clients
41% with primary partners (boyfriend or husband)","mean regular clients: 2.4 per day
mean casual clients: 1.9 per day
32% have primary partner (husband/boyfriend)","26.5% reported vaginal discharge at time of study",NA,NA,NA,0.265,NA,NA,12,200,0.06,0.031,0.103,"y","vaginal swab","NR","genital fluid","naat","NAAT",93.3,99.2,0.0608776580852732,0.0183496664221767,0.0293539344484695,0.101069130390231,169.794556316751,10.3366949441918,NA,NA
NA,"Vandenhoudt 2013","overall",10,2008,"12","2008",2008,"kenya","kisumu","town",NA,"clinic","pambazuko clinic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cross-sectional","respondent driven sampling",NA,"fsw",NA,"NR",NA,NA,NA,NA,26,"20-30","adult","Mixed",277,479,0.565,"median: 15 (IQR: 14-17)","median: 20 (IQR: 17-25)","median: 5 years (IQR: 3-10)","75.5% used condom with last client","median: 3 in past week",NA,"18.5% treated for STI in past year","73% used contraception in past year",NA,NA,NA,NA,26,474,0.059,0.038,0.081,"y","endocervical swab","NR","genital fluid","naat","NAAT",93.3,99.2,0.0528230897433192,0.0117751071136402,0.0325029701206568,0.0780807918785516,360.848720867906,19.0611443661673,NA,NA
"1","Gomih-Alakija 2014","overall",8,2009,"3","2011",2009,"kenya","nairobi","city","urban","sti clinic","korogocho clinic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cohort baseline","convenience","women  informed of study by community peer leaders during public meetings","fsw",NA,"18 to 49",18,49,NA,NA,28,NA,"adult","Mixed",82,347,0.236311239193084,"median: 16, range: 10-25",NA,"mean: 5.5 years",NA,"35% with <= 8 per week, 36% with 9-14 per week, 29% with >= 15 per week",NA,NA,NA,NA,NA,NA,NA,8,348,0.0229885057471264,NA,NA,NA,"cervical swab","physician","genital fluid","naat","NAAT",93.3,99.2,0.0190657969403084,0.00905514381086655,0.00406225447803263,0.0391216505158785,228.088892738568,4.34869651329333,NA,NA
