cov_id,study_id,study_name,month_start,year_start,month_end,year_end,year_publish,year_mid,country,region_actual,region_analysis,urban_rural,location,study_design,study_sample,sex,population,population_detail,age_group,reproductive_age,age_range,age_min,age_max,age_mean,age_median,age_iqr,hiv_status,hiv_tested,hiv_positive,hiv_prevalence,sti,num,denom,prev,specimen,test,sens,spec,adj_prev,adj_se,adj_prev_lwr,adj_prev_upr,adj_num,adj_denom
#22820,Maina 2016,NA,May,2013,September,2013,2016,2013,Kenya,EA,EA,Urban,Nairobi,Cross sectional,Consecutive,Female,FP attendees,Family planning clinic attendees at hospital,Adult,Y,20 to 49,20,49,NA,37,NA,Mixed,NA,NA,NR,CT,33,249,0.13,genital fluid,NAAT,88.6,99.6,0.148896901,0.024561821,0.104024248,0.199761393,31.27752315,210.0616132
#22820,Maina 2016,NA,May,2013,September,2013,2016,2013,Kenya,EA,EA,Urban,Nairobi,Cross sectional,Consecutive,Female,FP attendees,Family planning clinic attendees at hospital,Adult,Y,20 to 49,20,49,NA,37,NA,Mixed,NA,NA,NR,NG,0,249,0,genital fluid,culture,75.7,100,0.005218771,0.005065404,0.000150492,0.018213434,1.055932038,202.3334504
#22820,Maina 2016,NA,May,2013,September,2013,2016,2013,Kenya,EA,EA,Urban,Nairobi,Cross sectional,Consecutive,Female,FP attendees,Family planning clinic attendees at hospital,Adult,Y,20 to 49,20,49,NA,37,NA,Mixed,NA,NA,NR,TV,1,249,0.004,genital fluid,WM,52,100,0.015326681,0.010463632,0.001931638,0.041004338,2.112630146,137.8400276
#22906,Mbuvi 2024,NA,August,2021,May,2022,2024,2022,Kenya,EA,EA,Rural,"Mwingi, Kitui County",Cross sectional,Consecutive,Female,PHC/OPD attendees,Women seeking medical care at outpatient clinics of hospital,Adult,Y,15 to 44,15,44,NA,NA,NA,Mixed,NA,NA,NR,NG,8,322,0.025,genital fluid,culture,75.7,100,0.036654947,0.012123545,0.016715014,0.063736436,8.806184222,240.245452
#22906,Mbuvi 2024,NA,August,2021,May,2022,2024,2022,Kenya,EA,EA,Rural,"Mwingi, Kitui County",Cross sectional,Consecutive,Female,PHC/OPD attendees,Women seeking medical care at outpatient clinics of hospital,Adult,Y,15 to 44,15,44,NA,NA,NA,Mixed,NA,NA,NR,TV,12,322,0.037,genital fluid,WM,52,100,0.076843507,0.020936021,0.040540424,0.121401564,12.4365916,161.8431029
#22332,Hawken 2002,NA,April,2000,July,2000,2002,2000,Kenya,EA,EA,Urban,Mombasa,Cross sectional,Random,Female,Population-representative survey participants,Community members identified in randomly selected households,Adult,Y,15 to 49,15,49,27.1,NA,NA,Mixed,416,57,0.137,CT,11,579,0.019,urine,NAAT,87,99.8,0.021298112,0.00671065,0.010105697,0.036205063,9.858331639,462.8734995
#22332,Hawken 2002,NA,April,2000,July,2000,2002,2000,Kenya,EA,EA,Urban,Mombasa,Cross sectional,Random,Female,Population-representative survey participants,Community members identified in randomly selected households,Adult,Y,15 to 49,15,49,27.1,NA,NA,Mixed,416,57,0.137,NG,4,571,0.007,urine,NAAT,91.6,100,0.009468777,0.004245371,0.003198759,0.019427468,4.927478371,520.3922562
#22332,Hawken 2002,NA,April,2000,July,2000,2002,2000,Kenya,EA,EA,Urban,Mombasa,Cross sectional,Random,Male,Population-representative survey participants,Community members identified in randomly selected households,Adult,Y,15 to 49,15,49,28.5,NA,NA,Mixed,425,34,0.08,CT,6,546,0.011,urine,NAAT,87.8,99.3,0.007473493,0.005219538,0.000481426,0.019793363,2.034816818,272.2711894
#22332,Hawken 2002,NA,April,2000,July,2000,2002,2000,Kenya,EA,EA,Urban,Mombasa,Cross sectional,Random,Male,Population-representative survey participants,Community members identified in randomly selected households,Adult,Y,15 to 49,15,49,28.5,NA,NA,Mixed,425,34,0.08,NG,7,583,0.012,urine,NAAT,80.9,99.9,0.015636774,0.005967269,0.005902704,0.028894647,6.759249743,432.2662632
#32533,Bailey 2007,MMC Trial 1,February,2002,September,2005,2007,2003,Kenya,EA,EA,Urban,Kisumu,RCT,Convenience,Male,HIV/STI prevention trial participants,Uncircumcised men recruited from community and public/private clinics,Youth,Y,18 to 24,18,24,NA,20,19-22,HIV negative,2784,0,0,CT,128,2753,0.05,urine,NAAT,87.8,99.3,0.045734787,0.004547032,0.037260349,0.055117448,96.53981321,2110.861771
#32533,Bailey 2007,MMC Trial 1,February,2002,September,2005,2007,2003,Kenya,EA,EA,Urban,Kisumu,RCT,Convenience,Male,HIV/STI prevention trial participants,Uncircumcised men recruited from community and public/private clinics,Youth,Y,18 to 24,18,24,NA,20,19-22,HIV negative,2784,0,0,NG,57,2754,0.02,urine,NAAT,80.9,99.9,0.024767122,0.003417378,0.018490321,0.031774299,51.22398117,2068.225006
#32533,Bailey 2007,MMC Trial 1,February,2002,September,2005,2007,2003,Kenya,EA,EA,Urban,Kisumu,RCT,Convenience,Male,HIV/STI prevention trial participants,Uncircumcised men recruited from community and public/private clinics,Youth,Y,18 to 24,18,24,NA,20,19-22,HIV negative,2784,0,0,TV,58,2759,0.02,urine,culture,87.6,100,0.024423554,0.003128906,0.018683669,0.030964531,59.44208078,2433.801467
#21805,Chersich 2009,NA,March,2006,August,2006,2009,2006,Kenya,EA,EA,Urban,Mombasa,Cross sectional,Consecutive,Female,PHC/OPD attendees,"Postpartum women bringing infant for immunization and well-child services or for acute paediatric care,  4 weeks to 1 year after childbirth",Adult,Y,16 to 45,16,45,25.5,NA,NA,Mixed,496,54,0.11,TV,35,454,0.077092511,genital fluid,WM,52,100,0.151573807,0.024902951,0.107105509,0.204151657,31.43118465,207.3655425
#23449,Ravindran 2021,NA,NR,2009,NR,2015,2021,2012,Kenya,EA,EA,Rural and peri-urban,Western Kenya,Cohort,NR,Female,ANC attendees,Pregnant women,Adult,Y,14+,14,NR,NA,22,19-27,HIV negative,1244,0,0,CT,67,1241,0.053988719,genital fluid,NAAT,88.6,99.6,0.057246697,0.007483783,0.04356125,0.072875555,55.1640988,963.6206458
#23449,Ravindran 2021,NA,NR,2009,NR,2015,2021,2012,Kenya,EA,EA,Rural and peri-urban,Western Kenya,Cohort,NR,Female,ANC attendees,Pregnant women,Adult,Y,14+,14,NR,NA,22,19-27,HIV negative,1244,0,0,NG,29,1204,0.024086379,genital fluid,NAAT,93.3,99.2,0.018351053,0.004722705,0.009914989,0.028196182,14.8216519,807.6731185
#23449,Ravindran 2021,NA,NR,2009,NR,2015,2021,2012,Kenya,EA,EA,Rural and peri-urban,Western Kenya,Cohort,NR,Female,ANC attendees,Pregnant women,Adult,Y,14+,14,NR,NA,22,19-27,HIV negative,1244,0,0,TV,129,1244,0.103697749,genital fluid,WM,52,100,0.200671536,0.016497834,0.169473329,0.233310406,118.2613838,589.3281434
#22609,Kinuthia 2015,Mama Salama Study,May,2011,June,2013,2015,2012,Kenya,EA,EA,Rural,Western Kenya,Cohort,Consecutive,Female,ANC attendees,From HIV incidence study: enrollment data - women who were HIV negative,Adult,Y,14+,14,NR,NA,22,19-27,HIV negative,1276,0,0,CT,70,1276,0.054858934,genital fluid,NAAT,88.6,99.6,0.058594404,0.007138458,0.045163249,0.073202507,63.42789269,1082.490616
#22609,Kinuthia 2015,Mama Salama Study,May,2011,June,2013,2015,2012,Kenya,EA,EA,Rural,Western Kenya,Cohort,Consecutive,Female,ANC attendees,From HIV incidence study: enrollment data - women who were HIV negative,Adult,Y,14+,14,NR,NA,22,19-27,HIV negative,1276,0,0,NG,32,1276,0.02507837,genital fluid,NAAT,93.3,99.2,0.019203788,0.00491057,0.010662579,0.029398243,14.99991504,781.09148
#22609,Kinuthia 2015,Mama Salama Study,May,2011,June,2013,2015,2012,Kenya,EA,EA,Rural,Western Kenya,Cohort,Consecutive,Female,ANC attendees,From HIV incidence study: enrollment data - women who were HIV negative,Adult,Y,14+,14,NR,NA,22,19-27,HIV negative,1276,0,0,TV,81,1278,0.063380282,genital fluid,WM,52,100,0.123308911,0.012949041,0.099433606,0.150985552,79.49874768,644.712107
#32526,Madanitsa 2023,NA,March,2018,July,2019,2023,2018,Kenya,EA,EA,Rural,NR,RCT,Convenience,Female,ANC attendees,women with viable singleton pregnancy between 16 weeks and 28 weeks gestation,Adult,Y,NR,NR,NR,NA,NA,NA,HIV negative,474,0,0,CT,99,474,0.208860759,genital fluid,NAAT,88.6,99.6,0.233552217,0.021125234,0.19407156,0.276410391,93.68013138,401.1100073
#32526,Madanitsa 2023,NA,March,2018,July,2019,2023,2018,Kenya,EA,EA,Rural,NR,RCT,Convenience,Female,ANC attendees,women with viable singleton pregnancy between 16 weeks and 28 weeks gestation,Adult,Y,NR,NR,NR,NA,NA,NA,HIV negative,474,0,0,NG,16,474,0.033755274,genital fluid,NAAT,93.3,99.2,0.029851985,0.00915753,0.013948957,0.049310746,10.30926676,345.3461009
#32526,Madanitsa 2023,NA,March,2018,July,2019,2023,2018,Kenya,EA,EA,Rural,NR,RCT,Convenience,Female,ANC attendees,women with viable singleton pregnancy between 16 weeks and 28 weeks gestation,Adult,Y,NR,NR,NR,NA,NA,NA,HIV negative,474,0,0,TV,53,474,0.111814346,genital fluid,culture,68.8,100,0.164946925,0.0208461,0.126319932,0.207586448,52.28208185,316.9630589
#22867,Masha 2017,NA,July,2015,September,2015,2017,2015,Kenya,EA,EA,Rural,Kilifi,Cross sectional,Consecutive,Female,ANC attendees,pregnant women,Adult,Y,18 to 45,18,45,NA,26,22-31,Mixed,202,13,6.40E-02,CT,30,202,0.148514851,urine,NAAT,87,99.8,0.172631457,0.028664327,0.120077751,0.232218832,30.00926689,173.8342908
#22867,Masha 2017,NA,July,2015,September,2015,2017,2015,Kenya,EA,EA,Rural,Kilifi,Cross sectional,Consecutive,Female,ANC attendees,pregnant women,Adult,Y,18 to 45,18,45,NA,26,22-31,Mixed,202,13,6.40E-02,NG,2,202,0.00990099,urine,NAAT,91.6,100,0.016024725,0.009140883,0.003437201,0.037767002,3.024050825,188.7115563
#22867,Masha 2017,NA,July,2015,September,2015,2017,2015,Kenya,EA,EA,Rural,Kilifi,Cross sectional,Consecutive,Female,ANC attendees,pregnant women,Adult,Y,18 to 45,18,45,NA,26,22-31,Mixed,202,13,6.40E-02,TV,15,202,0.074257426,genital fluid,culture,68.8,100,0.113696242,0.027552234,0.066277177,0.173150998,15.09249997,132.744053
#22440,Jespers 2014,NA,NR,2010,NR,2011,2014,2011,Kenya,EA,EA,Urban,Mombasa,Cross sectional,Consecutive,Female,ANC attendees,Pregnant women,Adult,Y,18 to 35,19,34,26,NA,NA,Mixed,NA,NA,NR,CT,2,30,0.0667,genital fluid,NAAT,88.6,99.6,0.102500317,0.057398382,0.019197267,0.241874481,2.862104028,27.92287971
#22440,Jespers 2014,NA,NR,2010,NR,2011,2014,2011,Kenya,EA,EA,Urban,Mombasa,Cross sectional,Consecutive,Female,ANC attendees,Pregnant women,Adult,Y,18 to 35,19,34,26,NA,NA,Mixed,NA,NA,NR,NG,0,30,0,genital fluid,NAAT,93.3,99.2,0.033995961,0.033871518,0.00071177,0.125976661,0.973115196,28.62443562
#22440,Jespers 2014,NA,NR,2010,NR,2011,2014,2011,Kenya,EA,EA,Urban,Mombasa,Cross sectional,Consecutive,Female,ANC attendees,Pregnant women,Adult,Y,18 to 35,19,34,26,NA,NA,Mixed,NA,NA,NR,TV,1,30,0.0333,genital fluid,culture,68.8,100,0.090975359,0.05864561,0.012009269,0.233723222,2.187520778,24.04520095
#23279,Oliver 2018,NA,April,2014,November,2014,2018,2014,Kenya,EA,EA,Mixed,Kisumu and surrounding villages,Cross sectional,Convenience,Female,Community members,general population - venue-based recruitment in community for observational study of NuvaRing,Adult,Y,18 to 34,18,34,NA,25,21-28,Mixed,457,67,0.147,CT,21,457,0.046,genital fluid,NAAT,88.6,99.6,0.04991751,0.011534943,0.029611211,0.075164465,17.79247059,356.4374654
#23279,Oliver 2018,NA,April,2014,November,2014,2018,2014,Kenya,EA,EA,Mixed,Kisumu and surrounding villages,Cross sectional,Convenience,Female,Community members,general population - venue-based recruitment in community for observational study of NuvaRing,Adult,Y,18 to 34,18,34,NA,25,21-28,Mixed,457,67,0.147,NG,17,457,0.039,genital fluid,NAAT,93.3,99.2,0.033613495,0.009865224,0.016488256,0.05475535,11.21926145,333.772537
#23226,Nyakambi 2022,NA,May,2021,June,2021,2022,2021,Kenya,EA,EA,Urban,Kisumu,Cross sectional,Consecutive,Female,PHC/OPD attendees,"Non-pregnant women, sexually active",Adult,Y,18 to 49,18,49,NA,NA,NA,Mixed,385,35,0.09,CT,29,385,0.075324675,genital fluid,rapid antigen test,56,99,0.12263441,0.024994076,0.077216111,0.173776475,21.12180874,172.2339494
