"year","sex","age_group","pregnant","nonpregnant","pop"
1970,"Female","15-24",182248.5,833121,1015369.5
1971,"Female","15-24",186016.5,873062,1059078.5
1972,"Female","15-24",196215,909983,1106198
1973,"Female","15-24",203118.75,954493.75,1157612.5
1974,"Female","15-24",209426.25,1000404.25,1209830.5
1975,"Female","15-24",215873.25,1052018.75,1267892
1976,"Female","15-24",225165.75,1107183.75,1332349.5
1977,"Female","15-24",238022.25,1163723.75,1401746
1978,"Female","15-24",250014.75,1226263.25,1476278
1979,"Female","15-24",262896.75,1289475.75,1552372.5
1980,"Female","15-24",274802.25,1357194.25,1631996.5
1981,"Female","15-24",283955.25,1429628.25,1713583.5
1982,"Female","15-24",298536,1496294.5,1794830.5
1983,"Female","15-24",307649.25,1570201.75,1877851
1984,"Female","15-24",315716.25,1646333.25,1962049.5
1985,"Female","15-24",326370.75,1719316.75,2045687.5
1986,"Female","15-24",335946.75,1791459.25,2127406
1987,"Female","15-24",346795.5,1860058,2206853.5
1988,"Female","15-24",358255.5,1928191.5,2286447
1989,"Female","15-24",362143.5,2004887,2367030.5
1990,"Female","15-24",364998,2083555,2448553
1991,"Female","15-24",364863.75,2162503.75,2527367.5
1992,"Female","15-24",365163,2240066.5,2605229.5
1993,"Female","15-24",367586.25,2318007.25,2685593.5
1994,"Female","15-24",373197,2396191.5,2769388.5
1995,"Female","15-24",379526.25,2475577.75,2855104
1996,"Female","15-24",388332.75,2553296.25,2941629
1997,"Female","15-24",394074.75,2638449.25,3032524
1998,"Female","15-24",400815,2727315.5,3128130.5
1999,"Female","15-24",413300.25,2820332.75,3233633
2000,"Female","15-24",421350,2927522.5,3348872.5
2001,"Female","15-24",431296.5,3039905.5,3471202
2002,"Female","15-24",446520.75,3147843.75,3594364.5
2003,"Female","15-24",452782.5,3259405,3712187.5
2004,"Female","15-24",460518,3365506.5,3826024.5
2005,"Female","15-24",471714,3459533.5,3931247.5
2006,"Female","15-24",480781.5,3545190,4025971.5
2007,"Female","15-24",489513,3621089,4110602
2008,"Female","15-24",497045.25,3693941.75,4190987
2009,"Female","15-24",500213.25,3768641.25,4268854.5
2010,"Female","15-24",497395.5,3843928,4341323.5
2011,"Female","15-24",490772.25,3920709.75,4411482
2012,"Female","15-24",485093.25,3997155.25,4482248.5
2013,"Female","15-24",481664.25,4078124.25,4559788.5
2014,"Female","15-24",479273.25,4166802.75,4646076
2015,"Female","15-24",476292,4265828,4742120
2016,"Female","15-24",477896.25,4376565.25,4854461.5
2017,"Female","15-24",474420,4507104,4981524
2018,"Female","15-24",461976.75,4653164.75,5115141.5
2019,"Female","15-24",458264.25,4798576.75,5256841
2020,"Female","15-24",464312.25,4944558.25,5408870.5
2021,"Female","15-24",463681.5,5103821.5,5567503
2022,"Female","15-24",469705.5,5263410.5,5733116
2023,"Female","15-24",477991.5,5422641,5900632.5
2024,"Female","15-24",483804.75,5576640.25,6060445
2025,"Female","15-24",489581.25,5714023.25,6203604.5
2026,"Female","15-24",496352.25,5825259.75,6321612
2027,"Female","15-24",501267,5915302,6416569
2028,"Female","15-24",506819.25,5985950.75,6492770
2029,"Female","15-24",508583.25,6041621.75,6550205
2030,"Female","15-24",510496.5,6082409.5,6592906
1970,"Female","25-49",243341.25,1007594.25,1250935.5
1971,"Female","25-49",251678.25,1028806.75,1280485
1972,"Female","25-49",254841.75,1051180.25,1306022
1973,"Female","25-49",257873.25,1074333.75,1332207
1974,"Female","25-49",261889.5,1096385,1358274.5
1975,"Female","25-49",266866.5,1110993,1377859.5
1976,"Female","25-49",269741.25,1121014.75,1390756
1977,"Female","25-49",270797.25,1137773.75,1408571
1978,"Female","25-49",271580.25,1162473.25,1434053.5
1979,"Female","25-49",274927.5,1189464.5,1464392
1980,"Female","25-49",279709.5,1222873,1502582.5
1981,"Female","25-49",286402.5,1262184.5,1548587
1982,"Female","25-49",292688.25,1309684.75,1602373
1983,"Female","25-49",301006.5,1365786.5,1666793
1984,"Female","25-49",309501.75,1429360.75,1738862.5
1985,"Female","25-49",319957.5,1495698.5,1815656
1986,"Female","25-49",329659.5,1567675.5,1897335
1987,"Female","25-49",341283,1644863.5,1986146.5
1988,"Female","25-49",348072.75,1737864.25,2085937
1989,"Female","25-49",356394.75,1838646.25,2195041
1990,"Female","25-49",364951.5,1947621,2312572.5
1991,"Female","25-49",371900.25,2060080.25,2431980.5
1992,"Female","25-49",379342.5,2173087,2552429.5
1993,"Female","25-49",385368.75,2290001.75,2675370.5
1994,"Female","25-49",391320,2408746.5,2800066.5
1995,"Female","25-49",398362.5,2530635.5,2928998
1996,"Female","25-49",409154.25,2649793.25,3058947.5
1997,"Female","25-49",420516.75,2767524.25,3188041
1998,"Female","25-49",432731.25,2883342.75,3316074
1999,"Female","25-49",445537.5,3004358.5,3449896
2000,"Female","25-49",454899.75,3136567.75,3591467.5
2001,"Female","25-49",469548,3271827.5,3741375.5
2002,"Female","25-49",481790.25,3412021.75,3893812
2003,"Female","25-49",495831.75,3550600.75,4046432.5
2004,"Female","25-49",503359.5,3704480.5,4207840
2005,"Female","25-49",513327.75,3860981.75,4374309.5
2006,"Female","25-49",529169.25,4017536.75,4546706
2007,"Female","25-49",545210.25,4178378.25,4723588.5
2008,"Female","25-49",563252.25,4343523.75,4906776
2009,"Female","25-49",574749,4524432,5099181
2010,"Female","25-49",580620,4705692.5,5286312.5
2011,"Female","25-49",583092,4880519,5463611
2012,"Female","25-49",581166.75,5058725.75,5639892.5
2013,"Female","25-49",577658.25,5237211.75,5814870
2014,"Female","25-49",571467,5413095,5984562
2015,"Female","25-49",571249.5,5575281,6146530.5
2016,"Female","25-49",582272.25,5727712.75,6309985
2017,"Female","25-49",589408.5,5885238.5,6474647
2018,"Female","25-49",603438,6022891,6626329
2019,"Female","25-49",609393,6173368.5,6782761.5
2020,"Female","25-49",602713.5,6355927.5,6958641
2021,"Female","25-49",610020.75,6527630.25,7137651
2022,"Female","25-49",613566,6709116.5,7322682.5
2023,"Female","25-49",620862.75,6902481.75,7523344.5
2024,"Female","25-49",626846.25,7104659.75,7731506
2025,"Female","25-49",633740.25,7311652.25,7945392.5
2026,"Female","25-49",642991.5,7523642,8166633.5
2027,"Female","25-49",652204.5,7741936,8394140.5
2028,"Female","25-49",664669.5,7960923.5,8625593
2029,"Female","25-49",674007.75,8186378.75,8860386.5
2030,"Female","25-49",686049.75,8414405.75,9100455.5
1970,"Male","15-24",0,1041779.5,1041779.5
1970,"Male","25-49",0,1040530.5,1040530.5
1971,"Male","15-24",0,1082441,1082441
1971,"Male","25-49",0,1073733,1073733
1972,"Male","15-24",0,1122810,1122810
1972,"Male","25-49",0,1107840,1107840
1973,"Male","15-24",0,1164628,1164628
1973,"Male","25-49",0,1147379.5,1147379.5
1974,"Male","15-24",0,1205703,1205703
1974,"Male","25-49",0,1190611.5,1190611.5
1975,"Male","15-24",0,1258709.5,1258709.5
1975,"Male","25-49",0,1223400.5,1223400.5
1976,"Male","15-24",0,1324889.5,1324889.5
1976,"Male","25-49",0,1244153.5,1244153.5
1977,"Male","15-24",0,1395650.5,1395650.5
1977,"Male","25-49",0,1270998.5,1270998.5
1978,"Male","15-24",0,1471059,1471059
1978,"Male","25-49",0,1306983,1306983
1979,"Male","15-24",0,1547858,1547858
1979,"Male","25-49",0,1349343.5,1349343.5
1980,"Male","15-24",0,1628053,1628053
1980,"Male","25-49",0,1401144.5,1401144.5
1981,"Male","15-24",0,1710003,1710003
1981,"Male","25-49",0,1461500,1461500
1982,"Male","15-24",0,1791461,1791461
1982,"Male","25-49",0,1530030,1530030
1983,"Male","15-24",0,1874658,1874658
1983,"Male","25-49",0,1609822,1609822
1984,"Male","15-24",0,1959152.5,1959152.5
1984,"Male","25-49",0,1697103.5,1697103.5
1985,"Male","15-24",0,2043255,2043255
1985,"Male","25-49",0,1787904,1787904
1986,"Male","15-24",0,2125671,2125671
1986,"Male","25-49",0,1881634.5,1881634.5
1987,"Male","15-24",0,2206060,2206060
1987,"Male","25-49",0,1979718.5,1979718.5
1988,"Male","15-24",0,2286428.5,2286428.5
1988,"Male","25-49",0,2085400.5,2085400.5
1989,"Male","15-24",0,2367465,2367465
1989,"Male","25-49",0,2197339.5,2197339.5
1990,"Male","15-24",0,2449157.5,2449157.5
1990,"Male","25-49",0,2314551.5,2314551.5
1991,"Male","15-24",0,2528233.5,2528233.5
1991,"Male","25-49",0,2429820.5,2429820.5
1992,"Male","15-24",0,2606412,2606412
1992,"Male","25-49",0,2541992.5,2541992.5
1993,"Male","15-24",0,2686995.5,2686995.5
1993,"Male","25-49",0,2653819,2653819
1994,"Male","15-24",0,2770944,2770944
1994,"Male","25-49",0,2766169.5,2766169.5
1995,"Male","15-24",0,2856705,2856705
1995,"Male","25-49",0,2888110,2888110
1996,"Male","15-24",0,2943350,2943350
1996,"Male","25-49",0,3016915,3016915
1997,"Male","15-24",0,3034228.5,3034228.5
1997,"Male","25-49",0,3145011.5,3145011.5
1998,"Male","15-24",0,3129628,3129628
1998,"Male","25-49",0,3272600,3272600
1999,"Male","15-24",0,3234442.5,3234442.5
1999,"Male","25-49",0,3406828.5,3406828.5
2000,"Male","15-24",0,3348335,3348335
2000,"Male","25-49",0,3550174.5,3550174.5
2001,"Male","15-24",0,3468802.5,3468802.5
2001,"Male","25-49",0,3703053,3703053
2002,"Male","15-24",0,3590248.5,3590248.5
2002,"Male","25-49",0,3858844.5,3858844.5
2003,"Male","15-24",0,3706722,3706722
2003,"Male","25-49",0,4014855.5,4014855.5
2004,"Male","15-24",0,3819052.5,3819052.5
2004,"Male","25-49",0,4179313,4179313
2005,"Male","15-24",0,3923003.5,3923003.5
2005,"Male","25-49",0,4348052.5,4348052.5
2006,"Male","15-24",0,4016761.5,4016761.5
2006,"Male","25-49",0,4521226,4521226
2007,"Male","15-24",0,4100594.5,4100594.5
2007,"Male","25-49",0,4697678.5,4697678.5
2008,"Male","15-24",0,4180373.5,4180373.5
2008,"Male","25-49",0,4879254.5,4879254.5
2009,"Male","15-24",0,4257895,4257895
2009,"Male","25-49",0,5067694,5067694
2010,"Male","15-24",0,4326220,4326220
2010,"Male","25-49",0,5254929,5254929
2011,"Male","15-24",0,4384346.5,4384346.5
2011,"Male","25-49",0,5440345,5440345
2012,"Male","15-24",0,4439678.5,4439678.5
2012,"Male","25-49",0,5626005.5,5626005.5
2013,"Male","15-24",0,4501473,4501473
2013,"Male","25-49",0,5810236.5,5810236.5
2014,"Male","15-24",0,4570710,4570710
2014,"Male","25-49",0,5989335.5,5989335.5
2015,"Male","15-24",0,4648060,4648060
2015,"Male","25-49",0,6160120,6160120
2016,"Male","15-24",0,4748373,4748373
2016,"Male","25-49",0,6325268,6325268
2017,"Male","15-24",0,4868452,4868452
2017,"Male","25-49",0,6484668.5,6484668.5
2018,"Male","15-24",0,4989006,4989006
2018,"Male","25-49",0,6634908.5,6634908.5
2019,"Male","15-24",0,5123082,5123082
2019,"Male","25-49",0,6783571.5,6783571.5
2020,"Male","15-24",0,5281663,5281663
2020,"Male","25-49",0,6936204,6936204
2021,"Male","15-24",0,5449276,5449276
2021,"Male","25-49",0,7087506,7087506
2022,"Male","15-24",0,5625960,5625960
2022,"Male","25-49",0,7241036,7241036
2023,"Male","15-24",0,5809677.5,5809677.5
2023,"Male","25-49",0,7406174.5,7406174.5
2024,"Male","15-24",0,5985157,5985157
2024,"Male","25-49",0,7581106,7581106
2025,"Male","15-24",0,6141855,6141855
2025,"Male","25-49",0,7763669,7763669
2026,"Male","15-24",0,6270712.5,6270712.5
2026,"Male","25-49",0,7955587,7955587
2027,"Male","15-24",0,6374413.5,6374413.5
2027,"Male","25-49",0,8156093.5,8156093.5
2028,"Male","15-24",0,6457693,6457693
2028,"Male","25-49",0,8362927,8362927
2029,"Male","15-24",0,6520832.5,6520832.5
2029,"Male","25-49",0,8575897,8575897
2030,"Male","15-24",0,6568085.5,6568085.5
2030,"Male","25-49",0,8797421.5,8797421.5
