"latex","Parameter","Definition","Prior","Posterior"
"$\upsilon_{mm}$ & Probability of being in sexual risk group & 0.15 (0.10-0.20) & 0.15 (0.10-0.20) \\","$\upsilon_{mm}$","Probability of being in sexual risk group","0.15 (0.10-0.20)","0.15 (0.10-0.20)"
"$\upsilon_{mh}$ & Probability of being in sexual risk group & 0.15 (0.10-0.20) & 0.15 (0.10-0.20) \\","$\upsilon_{mh}$","Probability of being in sexual risk group","0.15 (0.10-0.20)","0.15 (0.10-0.20)"
"$\upsilon_{fm}$ & Probability of being in sexual risk group & 0.25 (0.20-0.30) & 0.25 (0.20-0.30) \\","$\upsilon_{fm}$","Probability of being in sexual risk group","0.25 (0.20-0.30)","0.25 (0.20-0.30)"
"$\upsilon_{fh}$ & Probability of being in sexual risk group & 0.02 (0.01-0.03) & 0.02 (0.01-0.03) \\","$\upsilon_{fh}$","Probability of being in sexual risk group","0.02 (0.01-0.03)","0.02 (0.01-0.03)"
"$q_{slyn}$ & Probability of being ever sexually active & 0.60 (0.51-0.69) & 0.60 (0.50-0.70) \\","$q_{slyn}$","Probability of being ever sexually active","0.60 (0.51-0.69)","0.60 (0.50-0.70)"
"$\nicefrac{q_{smyn}}{q_{slyn}}$ & Relative probability of being ever sexually active, medium:low risk & 1.10 (1.05-1.15) & 1.10 (1.05-1.15) \\","$\nicefrac{q_{smyn}}{q_{slyn}}$","Relative probability of being ever sexually active, medium:low risk","1.10 (1.05-1.15)","1.10 (1.05-1.15)"
"$\nicefrac{q_{shyn}}{q_{smyn}}$ & Relative probability of being ever sexually active, high:medium risk & 1.10 (1.05-1.15) & 1.10 (1.05-1.15) \\","$\nicefrac{q_{shyn}}{q_{smyn}}$","Relative probability of being ever sexually active, high:medium risk","1.10 (1.05-1.15)","1.10 (1.05-1.15)"
"$c_{slyn}$ & Number sex partners reported per year & 1.25 (1.01-1.49) & 1.24 (1.01-1.48) \\","$c_{slyn}$","Number sex partners reported per year","1.25 (1.01-1.49)","1.24 (1.01-1.48)"
"$\nicefrac{c_{mmag}}{c_{mlag}}$ & Relative number sex partners reported per year, medium:low risk & 4.50 (3.08-5.92) & 4.33 (3.08-5.87) \\","$\nicefrac{c_{mmag}}{c_{mlag}}$","Relative number sex partners reported per year, medium:low risk","4.50 (3.08-5.92)","4.33 (3.08-5.87)"
"$\nicefrac{c_{fmag}}{c_{flag}}$ & Relative number sex partners reported per year, medium:low risk & 4.50 (3.08-5.92) & 4.48 (3.12-5.93) \\","$\nicefrac{c_{fmag}}{c_{flag}}$","Relative number sex partners reported per year, medium:low risk","4.50 (3.08-5.92)","4.48 (3.12-5.93)"
"$\nicefrac{c_{mhag}}{c_{mmag}}$ & Relative number sex partners reported per year, high:medium risk & 3.00 (2.05-3.95) & 2.89 (2.05-3.89) \\","$\nicefrac{c_{mhag}}{c_{mmag}}$","Relative number sex partners reported per year, high:medium risk","3.00 (2.05-3.95)","2.89 (2.05-3.89)"
"$\nicefrac{c_{fhag}}{c_{fmag}}$ & Relative number sex partners reported per year, high:medium risk & 17.5 (10.4-24.6) & 16.6 (10.4-24.5) \\","$\nicefrac{c_{fhag}}{c_{fmag}}$","Relative number sex partners reported per year, high:medium risk","17.5 (10.4-24.6)","16.6 (10.4-24.5)"
"$\nicefrac{c_{srog}}{c_{sryg}}$ & Relative number sex partners reported per year, old:young & 0.92 (0.85-1.00) & 0.92 (0.85-0.99) \\","$\nicefrac{c_{srog}}{c_{sryg}}$","Relative number sex partners reported per year, old:young","0.92 (0.85-1.00)","0.92 (0.85-0.99)"
"$\nicefrac{c_{frap}}{c_{fran}}$ & Relative number sex partners reported per year, pregnant:non & 0.92 (0.85-1.00) & 0.92 (0.86-1.00) \\","$\nicefrac{c_{frap}}{c_{fran}}$","Relative number sex partners reported per year, pregnant:non","0.92 (0.85-1.00)","0.92 (0.86-1.00)"
"$\chi_{slyn}$ & Probability of condom use & 0.30 (0.25-0.35) & 0.31 (0.26-0.35) \\","$\chi_{slyn}$","Probability of condom use","0.30 (0.25-0.35)","0.31 (0.26-0.35)"
"$\nicefrac{\chi_{smag}}{\chi_{slag}}$ & Relative probability of condom use, medium:low risk & 2.40 (2.31-2.49) & 2.40 (2.31-2.50) \\","$\nicefrac{\chi_{smag}}{\chi_{slag}}$","Relative probability of condom use, medium:low risk","2.40 (2.31-2.49)","2.40 (2.31-2.50)"
"$\nicefrac{\chi_{shag}}{\chi_{smag}}$ & Relative probability of condom use, high:medium risk & 1.07 (1.00-1.15) & 1.08 (1.00-1.15) \\","$\nicefrac{\chi_{shag}}{\chi_{smag}}$","Relative probability of condom use, high:medium risk","1.07 (1.00-1.15)","1.08 (1.00-1.15)"
"$\nicefrac{\chi_{srog}}{\chi_{sryg}}$ & Relative probability of condom use, old:young & 0.92 (0.85-1.00) & 0.93 (0.86-1.00) \\","$\nicefrac{\chi_{srog}}{\chi_{sryg}}$","Relative probability of condom use, old:young","0.92 (0.85-1.00)","0.93 (0.86-1.00)"
"$\nicefrac{\chi_{flap}}{\chi_{flan}}$ & Relative probability of condom use, pregnant:non & 0.20 (0.11-0.29) & 0.20 (0.11-0.29) \\","$\nicefrac{\chi_{flap}}{\chi_{flan}}$","Relative probability of condom use, pregnant:non","0.20 (0.11-0.29)","0.20 (0.11-0.29)"
