"p","N_1970","N_2030","f_1970","f_2030","ent_1970","ent_2030","mu_1970","mu_2030","latex"
"m.l.y.n","731633","4098318","0.00","0.00","96956","486648","0.0042","0.0020","m.l.y.n & \num{731633} & \num{4098318} & \num{96956} & \num{486648} & \num{0.00} & \num{0.00} & \num{0.0042} & \num{0.0020} \\"
"m.l.y.p","0","0","0.00","0.00","0","0","0.0042","0.0020","m.l.y.p & \num{0} & \num{0} & \num{0} & \num{0} & \num{0.00} & \num{0.00} & \num{0.0042} & \num{0.0020} \\"
"m.l.o.n","730756","6029977","0.00","0.00","0","0","0.0073","0.0060","m.l.o.n & \num{730756} & \num{6029977} & \num{0} & \num{0} & \num{0.00} & \num{0.00} & \num{0.0073} & \num{0.0060} \\"
"m.l.o.p","0","0","0.00","0.00","0","0","0.0073","0.0060","m.l.o.p & \num{0} & \num{0} & \num{0} & \num{0} & \num{0.00} & \num{0.00} & \num{0.0073} & \num{0.0060} \\"
"m.m.y.n","156605","877238","0.00","0.00","20753","104166","0.0042","0.0020","m.m.y.n & \num{156605} & \num{877238} & \num{20753} & \num{104166} & \num{0.00} & \num{0.00} & \num{0.0042} & \num{0.0020} \\"
"m.m.y.p","0","0","0.00","0.00","0","0","0.0042","0.0020","m.m.y.p & \num{0} & \num{0} & \num{0} & \num{0} & \num{0.00} & \num{0.00} & \num{0.0042} & \num{0.0020} \\"
"m.m.o.n","156417","1290706","0.00","0.00","0","0","0.0073","0.0060","m.m.o.n & \num{156417} & \num{1290706} & \num{0} & \num{0} & \num{0.00} & \num{0.00} & \num{0.0073} & \num{0.0060} \\"
"m.m.o.p","0","0","0.00","0.00","0","0","0.0073","0.0060","m.m.o.p & \num{0} & \num{0} & \num{0} & \num{0} & \num{0.00} & \num{0.00} & \num{0.0073} & \num{0.0060} \\"
"m.h.y.n","153542","860079","0.00","0.00","20347","102129","0.0042","0.0020","m.h.y.n & \num{153542} & \num{860079} & \num{20347} & \num{102129} & \num{0.00} & \num{0.00} & \num{0.0042} & \num{0.0020} \\"
"m.h.y.p","0","0","0.00","0.00","0","0","0.0042","0.0020","m.h.y.p & \num{0} & \num{0} & \num{0} & \num{0} & \num{0.00} & \num{0.00} & \num{0.0042} & \num{0.0020} \\"
"m.h.o.n","153357","1265460","0.00","0.00","0","0","0.0073","0.0060","m.h.o.n & \num{153357} & \num{1265460} & \num{0} & \num{0} & \num{0.00} & \num{0.00} & \num{0.0073} & \num{0.0060} \\"
"m.h.o.p","0","0","0.00","0.00","0","0","0.0073","0.0060","m.h.o.p & \num{0} & \num{0} & \num{0} & \num{0} & \num{0.00} & \num{0.00} & \num{0.0073} & \num{0.0060} \\"
"f.l.y.n","606789","3864183","0.49","0.19","101315","496646","0.0036","0.0015","f.l.y.n & \num{606789} & \num{3864183} & \num{101315} & \num{496646} & \num{0.49} & \num{0.19} & \num{0.0036} & \num{0.0015} \\"
"f.l.y.p","132737","339365","0.00","0.00","0","0","0.0036","0.0015","f.l.y.p & \num{132737} & \num{339365} & \num{0} & \num{0} & \num{0.00} & \num{0.00} & \num{0.0036} & \num{0.0015} \\"
"f.l.o.n","733863","5818664","0.32","0.11","0","0","0.0062","0.0043","f.l.o.n & \num{733863} & \num{5818664} & \num{0} & \num{0} & \num{0.32} & \num{0.11} & \num{0.0062} & \num{0.0043} \\"
"f.l.o.p","177233","486430","0.00","0.00","0","0","0.0062","0.0043","f.l.o.p & \num{177233} & \num{486430} & \num{0} & \num{0} & \num{0.00} & \num{0.00} & \num{0.0062} & \num{0.0043} \\"
"f.m.y.n","209700","1339753","0.45","0.17","35014","171636","0.0036","0.0015","f.m.y.n & \num{209700} & \num{1339753} & \num{35014} & \num{171636} & \num{0.45} & \num{0.17} & \num{0.0036} & \num{0.0015} \\"
"f.m.y.p","45873","112954","0.00","0.00","0","0","0.0036","0.0015","f.m.y.p & \num{45873} & \num{112954} & \num{0} & \num{0} & \num{0.00} & \num{0.00} & \num{0.0036} & \num{0.0015} \\"
"f.m.o.n","253616","2011162","0.32","0.11","0","0","0.0062","0.0043","f.m.o.n & \num{253616} & \num{2011162} & \num{0} & \num{0} & \num{0.32} & \num{0.11} & \num{0.0062} & \num{0.0043} \\"
"f.m.o.p","61250","167819","0.00","0.00","0","0","0.0062","0.0043","f.m.o.p & \num{61250} & \num{167819} & \num{0} & \num{0} & \num{0.00} & \num{0.00} & \num{0.0062} & \num{0.0043} \\"
"f.h.y.n","16632","106597","0.41","0.16","2777","13613","0.0036","0.0015","f.h.y.n & \num{16632} & \num{106597} & \num{2777} & \num{13613} & \num{0.41} & \num{0.16} & \num{0.0036} & \num{0.0015} \\"
"f.h.y.p","3638","8620","0.00","0.00","0","0","0.0036","0.0015","f.h.y.p & \num{3638} & \num{8620} & \num{0} & \num{0} & \num{0.00} & \num{0.00} & \num{0.0036} & \num{0.0015} \\"
"f.h.o.n","20115","159532","0.32","0.11","0","0","0.0062","0.0043","f.h.o.n & \num{20115} & \num{159532} & \num{0} & \num{0} & \num{0.32} & \num{0.11} & \num{0.0062} & \num{0.0043} \\"
"f.h.o.p","4858","13288","0.00","0.00","0","0","0.0062","0.0043","f.h.o.p & \num{4858} & \num{13288} & \num{0} & \num{0} & \num{0.00} & \num{0.00} & \num{0.0062} & \num{0.0043} \\"
