"","var","AGYW","PREG","FSW","MEN","CFSW","latex"
"1","Population size (millions)","4.85 (4.82 - 4.88)","1.16 (1.13 - 1.19)","0.26 (0.14 - 0.39)","13.1 (13.1 - 13.1)","1.91 (1.35 - 2.58)","1.91 (1.35 - 2.58) & 0.26 (0.14 - 0.39) & 13.1 (13.1 - 13.1) & 1.16 (1.13 - 1.19) & 4.85 (4.82 - 4.88)\"
"2","Prevalence (%)","1.79 (1.10 - 3.32)","1.89 (1.14 - 3.59)","4.74 (2.42 - 6.56)","1.28 (0.74 - 2.34)","3.56 (1.99 - 6.74)","3.56 (1.99 - 6.74) & 4.74 (2.42 - 6.56) & 1.28 (0.74 - 2.34) & 1.89 (1.14 - 3.59) & 1.79 (1.10 - 3.32)\"
"3","Incidence (per 100)","4.77 (2.79 - 8.81)","5.06 (2.82 - 9.48)","12.5 (5.81 - 19.9)","4.69 (2.72 - 8.45)","13.6 (7.04 - 26.5)","13.6 (7.04 - 26.5) & 12.5 (5.81 - 19.9) & 4.69 (2.72 - 8.45) & 5.06 (2.82 - 9.48) & 4.77 (2.79 - 8.81)\"
"4","QALYs lost (per 1000)","1.98 (1.34 - 3.36)","79.9 (46.0 - 141)","21.3 (16.3 - 30.4)","0.21 (0.11 - 0.44)","0.55 (0.37 - 0.90)","0.55 (0.37 - 0.90) & 21.3 (16.3 - 30.4) & 0.21 (0.11 - 0.44) & 79.9 (46.0 - 141) & 1.98 (1.34 - 3.36)\"
"5","Proportion total incident cases (%)","14.5 (12.6 - 16.5)","5.37 (4.57 - 6.41)","2.48 (1.00 - 5.55)","50.0 (45.4 - 55.0)","21.4 (13.7 - 29.3)","21.4 (13.7 - 29.3) & 2.48 (1.00 - 5.55) & 50.0 (45.4 - 55.0) & 5.37 (4.57 - 6.41) & 14.5 (12.6 - 16.5)\"
"6","Proportion total QALYs lost (%)","5.69 (4.53 - 7.20)","80.6 (76.1 - 83.8)","4.42 (1.67 - 10.4)","2.07 (1.31 - 3.58)","0.84 (0.48 - 1.60)","0.84 (0.48 - 1.60) & 4.42 (1.67 - 10.4) & 2.07 (1.31 - 3.58) & 80.6 (76.1 - 83.8) & 5.69 (4.53 - 7.20)\"
"7","Eligible consultations d (millions)","0.19 (0.09 - 0.41)","0.08 (0.04 - 0.16)","0.04 (0.01 - 0.10)","0.31 (0.16 - 0.63)","0.14 (0.06 - 0.29)","0.14 (0.06 - 0.29) & 0.04 (0.01 - 0.10) & 0.31 (0.16 - 0.63) & 0.08 (0.04 - 0.16) & 0.19 (0.09 - 0.41)\"
"8","Eligible consultations tested d (%)","13.1 (5.99 - 28.6)","33.6 (15.8 - 71.4)","66.8 (26.0 - 100)","7.95 (3.91 - 16.2)","18.4 (8.55 - 40.2)","18.4 (8.55 - 40.2) & 66.8 (26.0 - 100) & 7.95 (3.91 - 16.2) & 33.6 (15.8 - 71.4) & 13.1 (5.99 - 28.6)\"
"9","Cases averted relative to baseline d (%)","0.93 (0.43 - 1.99)","1.00 (0.47 - 2.12)","2.07 (0.63 - 5.59)","1.28 (0.46 - 3.03)","2.21 (0.77 - 5.31)","2.21 (0.77 - 5.31) & 2.07 (0.63 - 5.59) & 1.28 (0.46 - 3.03) & 1.00 (0.47 - 2.12) & 0.93 (0.43 - 1.99)\"
"10","QALYs gained relative to baseline d (%)","0.85 (0.39 - 1.82)","3.51 (1.75 - 7.22)","2.17 (0.71 - 5.58)","1.29 (0.47 - 3.05)","2.23 (0.78 - 5.28)","2.23 (0.78 - 5.28) & 2.17 (0.71 - 5.58) & 1.29 (0.47 - 3.05) & 3.51 (1.75 - 7.22) & 0.85 (0.39 - 1.82)\"
