"","var","FSW","CFSW","AGYW","PREG","MEN","latex"
"1","Eligible consultations d (100000s)","0.38 (0.13 - 0.99)","1.39 (0.65 - 2.97)","1.96 (0.90 - 4.28)","0.72 (0.35 - 1.54)","3.19 (1.59 - 6.46)","1.39 (0.65 - 2.97) & 0.38 (0.13 - 0.99) & 3.19 (1.59 - 6.46) & 0.72 (0.35 - 1.54) & 1.96 (0.90 - 4.28)\"
"2","Cases averted relative to baseline d (%)","3.07 (0.73 - 10.00)","11.57 (4.87 - 24.13)","6.93 (3.81 - 10.67)","3.05 (1.64 - 4.97)","15.28 (6.81 - 28.90)","11.57 (4.87 - 24.13) & 3.07 (0.73 - 10.00) & 15.28 (6.81 - 28.90) & 3.05 (1.64 - 4.97) & 6.93 (3.81 - 10.67)\"
"3","QALYs gained relative to baseline d (%)","3.33 (0.83 - 10.05)","11.61 (4.87 - 24.05)","6.28 (3.45 - 9.76)","10.66 (6.43 - 15.78)","15.43 (6.86 - 28.87)","11.61 (4.87 - 24.05) & 3.33 (0.83 - 10.05) & 15.43 (6.86 - 28.87) & 10.66 (6.43 - 15.78) & 6.28 (3.45 - 9.76)\"
"4","Cases averted per 100 tests d","93.9 (41.9 - 191)","102 (46.2 - 171)","39.7 (25.9 - 62.1)","43.9 (28.1 - 66.0)","60.3 (27.4 - 99.8)","102 (46.2 - 171) & 93.9 (41.9 - 191) & 60.3 (27.4 - 99.8) & 43.9 (28.1 - 66.0) & 39.7 (25.9 - 62.1)\"
"5","QALYs gained per 100 tests d","10.1 (5.32 - 20.0)","10.5 (4.83 - 18.2)","3.73 (2.49 - 5.70)","16.1 (11.1 - 22.8)","6.15 (2.92 - 10.5)","10.5 (4.83 - 18.2) & 10.1 (5.32 - 20.0) & 6.15 (2.92 - 10.5) & 16.1 (11.1 - 22.8) & 3.73 (2.49 - 5.70)\"
"6","Eligible consultations s (100000s)","4.33 (2.25 - 6.38)","25.41 (17.97 - 34.40)","47.55 (42.75 - 52.13)","30.40 (29.71 - 31.11)","175.42 (175.13 - 175.55)","25.41 (17.97 - 34.40) & 4.33 (2.25 - 6.38) & 175.42 (175.13 - 175.55) & 30.40 (29.71 - 31.11) & 47.55 (42.75 - 52.13)\"
"7","Cases averted relative to baseline s (%)","7.25 (2.16 - 19.52)","36.30 (27.74 - 42.24)","17.46 (14.56 - 20.54)","7.59 (6.07 - 9.53)","45.80 (40.35 - 49.06)","36.30 (27.74 - 42.24) & 7.25 (2.16 - 19.52) & 45.80 (40.35 - 49.06) & 7.59 (6.07 - 9.53) & 17.46 (14.56 - 20.54)\"
"8","QALYs gained relative to baseline s (%)","7.65 (2.50 - 19.71)","36.08 (27.91 - 41.91)","15.94 (13.27 - 18.81)","27.95 (24.58 - 31.81)","45.47 (40.17 - 48.52)","36.08 (27.91 - 41.91) & 7.65 (2.50 - 19.71) & 45.47 (40.17 - 48.52) & 27.95 (24.58 - 31.81) & 15.94 (13.27 - 18.81)\"
"9","Cases averted per 100 tests s","19.3 (6.96 - 42.0)","15.6 (8.48 - 28.6)","4.06 (2.38 - 6.88)","2.76 (1.60 - 4.73)","2.84 (1.68 - 4.86)","15.6 (8.48 - 28.6) & 19.3 (6.96 - 42.0) & 2.84 (1.68 - 4.86) & 2.76 (1.60 - 4.73) & 4.06 (2.38 - 6.88)\"
"10","QALYs gained per 100 tests s","2.08 (0.86 - 4.31)","1.60 (0.85 - 2.95)","0.38 (0.23 - 0.66)","1.03 (0.62 - 1.90)","0.29 (0.17 - 0.52)","1.60 (0.85 - 2.95) & 2.08 (0.86 - 4.31) & 0.29 (0.17 - 0.52) & 1.03 (0.62 - 1.90) & 0.38 (0.23 - 0.66)\"
